"AUC","AUC.diff","ORate.MPT","ORate.10PT","TSS.MPT","TSS.10PT","bio1.contribution","bio2.contribution","bio4.contribution","bio8.contribution","bio9.contribution","bio10.contribution","bio12.contribution","bio14.contribution","bio15.contribution","bio1.permutation.importance","bio2.permutation.importance","bio4.permutation.importance","bio8.permutation.importance","bio9.permutation.importance","bio10.permutation.importance","bio12.permutation.importance","bio14.permutation.importance","bio15.permutation.importance","nsamp"
0.887010991058122,0.0121909910581222,0.00491803278688525,0.0755588673621461,0.0517819672131148,0.613901788375559,0.57898,21.82652,5.02676,0.7663,14.9755,19.68206,0.52808,17.25986,19.35592,3.55138,10.66584,10.20642,3.5935,12.60652,29.02248,1.73594,13.45494,15.16298,609
0.859179395604396,0.0572720329670329,0.0296703296703297,0.145054945054945,0.16152967032967,0.482245054945055,0.3532,16.9551,7.24358,0.01918,17.36382,32.39748,1.65458,13.07762,10.93546,18.31708,10.42426,9.00682,0.82126,30.58018,5.05666,1.30642,13.27292,11.21446,68
0.877608008658009,0.0230392640692641,0.0186147186147186,0.0913419913419913,0.153085281385281,0.666958008658009,0.08806,17.84498,7.35542,0.53958,15.62452,22.99238,1.27776,14.6954,19.58186,2.17142,12.29878,15.48974,0.17452,30.06262,19.2827,0.99364,10.3624,9.16416,109
0.867439285714286,0.0283898484848485,0.019047619047619,0.11038961038961,0.209052380952381,0.57171038961039,0,30.63414,5.2263,0.73242,16.22582,9.92234,0.37796,18.57932,18.30164,0,15.47114,10.05852,2.18954,24.086,16.09982,3.10242,12.54234,16.45018,108
0.880560905432596,0.0153080482897384,0.00571428571428569,0.085513078470825,0.0813285714285714,0.611286921529175,0.1732,21.6612,7.83846,1.04042,15.9332,20.34968,0.925,15.2966,16.78222,0.15156,7.98576,13.33898,3.66616,22.5265,28.76872,0.6865,10.3567,12.5191,351
0.883417625745951,0.0125036402387042,0.00588235294117645,0.0817988064791134,0.0894176470588235,0.575501193520887,0.557,20.6586,5.74946,1.20902,12.88596,19.29148,0.50206,18.09624,21.05014,5.57174,9.67846,11.1952,4.73748,10.40692,31.41286,0.20774,11.40938,15.38024,342
0.883595650449498,0.0167908117398202,0.00978318350079324,0.0845584346906398,0.214016816499207,0.60104156530936,0.19816,23.42922,7.07128,0.85306,15.87124,21.59,0.38648,13.70082,16.89968,0.63002,11.65128,12.67984,3.76316,17.9595,28.16554,0.71022,9.73444,14.70596,307
0.868343323638287,0.0155104204124802,0.00650449497620307,0.0943416181914331,0.131395505023797,0.568158381808567,0.48,29.53582,5.5912,0.99244,14.82032,20.69772,0.32574,13.91516,13.6416,6.02818,13.48636,13.9132,3.47104,11.21322,33.22294,0.57778,7.8403,10.247,307
0.881458486238532,0.0155384862385321,0.0036697247706422,0.0810567448182127,0.0946302752293578,0.593643255181787,0.42434,27.5158,5.71246,1.20076,14.01216,16.78082,0.48686,16.8468,17.02,3.15328,9.5331,11.64974,4.31148,13.87224,28.8672,1.69762,11.31938,15.5959,543
0.880849887082204,0.00958013098464319,0.00490816019271305,0.0807286961758506,0.0743918398072869,0.647771303824149,0.61658,23.3943,5.98158,0.88206,14.88346,17.48516,0.90434,18.54374,17.30874,4.47626,8.21444,11.64278,3.84664,12.92478,27.2455,2.64596,13.15018,15.85342,409
0.88535378563495,0.0137822861902998,0.00540540540540539,0.076231025546094,0.112394594594595,0.627968974453906,0.3934,20.5889,6.30224,0.94814,15.62098,22.11184,0.29242,15.53796,18.2041,2.51588,9.32058,12.51474,2.78554,17.8037,28.5443,0.3959,11.8238,14.29554,367
0.882659320175439,0.0283024655388471,0.00714285714285716,0.0923558897243108,0.169157142857143,0.611944110275689,0.25258,32.2162,5.61268,0.49152,15.34892,11.72822,0.24254,18.1327,15.97472,1.55922,15.6092,13.2869,1.7167,18.91836,26.68342,0.56986,10.25626,11.40006,281
