"","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9"
"443",-99.70438,28.47338,219,298,130,550,80,23,45,197,77,151,78,135,42,6534,372,53,319,267,139
"444",-97.74055,26.89054,224,287,148,654,126,18,52,259,93,187,105,106,40,5430,344,83,261,266,162
"445",-99.16189,28.57327,216,293,126,572,82,22,44,211,77,160,83,138,42,6487,368,47,321,264,144
"446",-97.80761,27.9583,221,291,139,755,129,28,44,281,116,218,121,120,41,5904,357,67,290,267,154
"447",-97.75073,28.41594,215,287,131,767,117,31,38,260,122,220,129,122,41,6047,354,59,295,262,146
"448",-98.30249,28.74746,213,290,124,669,95,25,38,221,105,181,112,135,42,6447,364,43,321,251,140
"449",-97.39637,27.8006,221,287,144,795,143,30,45,318,125,213,134,97,37,5587,339,81,258,266,156
"450",-99.78177,29.23031,203,283,111,612,82,26,40,214,85,188,85,137,41,6685,355,27,328,253,129
"451",-99.42421,27.20548,234,307,146,495,110,12,64,217,52,126,62,134,42,6277,381,68,313,281,164
"452",-97.70004,26.74316,224,286,149,662,131,18,53,261,93,185,108,104,40,5358,342,83,259,265,194
"453",-97.64669,26.70513,224,285,148,665,134,18,53,263,93,182,110,100,39,5360,338,84,254,265,193
"454",-97.86678,27.41428,224,291,147,665,115,21,47,261,99,198,108,115,41,5627,352,78,274,267,161
"455",-97.67571,26.13367,230,288,162,671,134,22,52,271,96,189,107,102,41,4933,343,99,244,269,175
"456",-97.71721,26.78056,224,286,148,660,129,18,52,260,93,186,107,105,40,5382,344,83,261,266,194
"457",-99.46282,29.48155,202,280,112,636,86,30,36,215,98,187,100,130,41,6591,350,33,317,242,129
"458",-99.15344,28.55636,216,293,126,572,83,22,45,214,76,160,81,139,43,6469,368,47,321,263,145
"459",-99.25281,28.591,215,292,126,571,80,23,44,207,78,158,83,137,42,6451,367,48,319,263,145
"460",-99.08789,28.53969,215,293,125,577,84,22,44,217,77,161,82,140,43,6490,368,45,323,263,143
"461",-99.25967,28.59283,215,293,126,570,80,23,44,206,78,157,83,137,42,6469,367,48,319,263,145
"462",-99.05886,28.53464,215,293,125,577,84,22,44,216,77,160,82,140,43,6488,368,45,323,264,143
"463",-99.27628,28.59794,215,293,126,569,80,23,43,205,78,157,83,137,42,6491,367,48,319,263,145
"464",-99.04006,28.52111,216,293,125,576,84,22,44,217,77,161,82,142,43,6525,369,44,325,263,143
"465",-99.24269,28.59072,216,293,126,571,80,23,44,207,78,158,83,137,42,6473,367,48,319,263,145
"466",-98.85695,28.98021,211,286,121,667,94,28,40,227,99,182,102,138,43,6383,360,41,319,249,139
"467",-99.91374,29.60969,187,268,94,686,84,28,39,240,92,218,92,141,42,6767,340,7,333,237,94
"468",-99.33837,27.09481,230,301,143,517,116,13,64,227,56,132,66,134,43,6182,375,66,309,276,161
"469",-98.59062,28.13542,216,291,128,608,97,23,45,221,88,172,90,138,43,6324,365,47,318,263,145
"470",-99.36465,26.98498,230,301,143,520,119,14,65,226,57,134,66,134,43,6199,375,65,310,276,160
"471",-98.39089,26.48364,226,290,148,595,106,17,52,229,82,174,93,125,43,5529,361,76,285,267,164
"472",-98.52964,28.39704,215,291,125,606,91,23,41,206,93,175,96,138,42,6429,367,44,323,263,143
"473",-99.21198,26.9443,229,301,142,506,107,15,58,204,61,138,69,133,43,6200,374,65,309,274,160
"474",-97.70828,26.68428,225,286,149,663,132,18,53,262,93,184,108,104,40,5338,342,83,259,265,195
"475",-99.43937,27.22244,234,306,147,492,108,12,63,214,52,127,62,133,42,6237,381,69,312,281,164
"476",-97.68562,26.78546,224,286,148,661,130,18,52,261,93,184,108,103,39,5360,341,83,258,265,194
"477",-99.68255,29.52379,196,276,104,649,84,28,38,222,93,200,93,135,41,6704,347,22,325,246,122
"478",-97.80039,28.4157,215,287,131,751,114,30,38,256,119,213,126,124,41,6076,357,58,299,262,146
"479",-99.78238,29.7183,187,269,94,677,85,28,38,235,94,210,94,141,42,6834,342,7,335,238,94
"480",-98.33973,28.47196,216,291,126,636,94,23,40,216,98,175,104,135,42,6406,365,47,318,264,144
"481",-100.27118,25.54285,205,262,139,610,157,13,86,326,41,248,41,126,48,4875,328,66,262,237,153
"482",-99.78222,29.71867,187,269,94,677,85,28,38,235,94,210,94,141,42,6834,342,7,335,238,94
"483",-99.19418,30.01954,184,265,93,738,97,34,34,245,114,210,114,138,42,6663,338,12,326,233,93
"484",-98.83713,27.70602,218,291,131,562,99,21,49,211,78,159,81,138,43,6249,366,52,314,264,148
"485",-98.27185,28.45481,215,290,127,650,96,24,40,222,101,178,107,134,42,6352,364,47,317,263,143
"486",-99.1161,26.51449,231,303,146,537,111,16,58,229,65,161,72,128,42,6111,375,73,302,274,163
"487",-99.495,27.49955,234,309,147,429,78,12,51,161,55,114,64,132,42,6337,381,70,311,282,165
"488",-98.77275,27.14944,221,289,137,558,106,18,52,212,78,157,85,133,44,5924,363,61,302,264,154
"489",-99.44,27.02488,232,304,144,529,127,12,70,246,52,133,62,134,42,6252,379,67,312,279,162
"490",-97.77214,26.78914,225,288,148,654,127,18,53,258,93,186,105,108,40,5427,347,82,265,266,162
"491",-99.24281,29.78009,191,271,100,715,95,34,33,233,114,202,114,134,41,6639,343,21,322,230,100
"492",-99.15221,26.58906,229,301,143,538,108,16,56,220,66,166,74,128,42,6159,372,70,302,273,159
"493",-99.44405,27.04447,233,306,145,532,128,12,71,250,52,132,62,134,42,6269,380,68,312,279,163
"494",-99.44389,27.0446,233,306,145,532,128,12,71,250,52,132,62,134,42,6269,380,68,312,279,163
"495",-99.11595,26.51461,231,303,146,537,111,16,58,229,65,161,72,128,42,6111,375,73,302,274,163
"496",-99.44404,27.04401,233,306,145,532,128,12,71,250,52,132,62,134,42,6269,380,68,312,279,163
"497",-99.11545,26.51463,231,303,146,537,111,16,58,229,65,161,72,128,42,6111,375,73,302,274,163
"498",-96.98505,28.13255,216,283,136,924,160,35,41,339,141,262,167,90,35,5742,328,74,254,262,180
