"","name","decimalLongitude","decimalLatitude","stateProvince","issues","geodeticDatum","country","locality","catalogNumber","institutionCode","recordNumber","county","datasetName","infraspecificEpithet"
"1148","Lophuromys woosnami",29.45,-1.4667,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Kabara","3438 RMCA 82.011-M-0563","RMCA",NA,NA,NA,NA
"1150","Lophuromys woosnami",29.6,-0.1333,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Kalindera masereka","3439 RMCA 82.011-M-0564","RMCA",NA,NA,NA,NA
"1151","Lophuromys woosnami",29.4167,-0.15,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Tshiaberimu","3458 RMCA 82.011-M-0583","RMCA",NA,NA,NA,NA
"1152","Lophuromys woosnami",29.2,-1.4167,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Nyamlagira","3456 RMCA 82.011-M-0581","RMCA",NA,NA,NA,NA
"1158","Lophuromys woosnami",29.25,-1.6167,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Kibati","1910 RMCA 32359-M-","RMCA",NA,NA,NA,NA
"1160","Lophuromys woosnami",28.35,-3.15,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Nzombe","29963 RMCA 21961-M-","RMCA",NA,NA,NA,NA
"1161","Lophuromys woosnami",28.9167,-2.4667,NA,"gass84","WGS84","Rwanda","Kamembe tussen ... en nyamasheke","42036 RMCA 18832-M-","RMCA",NA,NA,NA,NA
"1162","Lophuromys woosnami",29.641939,-1.38806,"Southern","cdround,gass84","WGS84","Uganda","Virunga Mts, Mt Sabinio & Mt Mgahinga, pass between","57030","FMNH","9865","Kigezi",NA,NA
"1165","Lophuromys woosnami",29.8333,0.3333,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Bugongo","27756 RMCA 13005-M-","RMCA",NA,NA,NA,NA
"1173","Lophuromys woosnami",29.700001,-1.3,"Southern","cdround,gass84","WGS84","Uganda","Virunga Mts, Mt Sabinio & Mt Mgahinga, pass between","25932","FMNH","9781","Kigezi",NA,NA
"1184","Lophuromys woosnami",29.3833,-1.4833,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Mikeno","26468 RMCA 8033-M-","RMCA",NA,NA,NA,NA
"1185","Lophuromys woosnami",29.80001,0.33333,NA,"gass84,rdativ","WGS84","Congo, Democratic Republic of the","Ruwenzori, Kalonge","MHNG-MAM-945.012","MHNG",NA,NA,NA,NA
